TagName,Count,Description
"admob","9471","AdMob is a mobile advertising company owned by Google. This tag should be used for questions relating to the use of the AdMob SDK and incorporation of AdMob services into your code. Stack Overflow is not a site for discussion of features or usage of the AdMob service."
"localhost","9413","In computer networking, localhost is the hostname given to the address of the loopback network interface. It is used by a host to access network services running on itself. "
"label","9408","A label is a placeholder for text and other UI elements."
"include","9402","A provision that many programming languages provide to allow functionality defined in one file to be used in another."
"java-native-interface","9400","The Java Native Interface (JNI) gives both the ability for JVM implementations to run system native code and the ability for native code to run Java code (by creating new JVM instances). The most common target languages for JNI are C and C++, for which at least the Sun/Oracle JDK implementations provide helper commands (javap - for code disassembly, javah for c code generation)."
"salesforce","9345","A Platform-as-a-Service development environment delivered on Salesforce.com - the platform is more correctly referred to as Force.com. A dedicated Salesforce Stack Exchange is available for all your Salesforce questions at https://salesforce.stackexchange.com/"
"gson","9338","Gson is Google's open-source library for serializing and deserializing Java objects to/from JSON."
"telerik","9333","Telerik is a vendor of development, team productivity, and automated testing tools, as well as UI components and content management solutions for Microsoft .NET."
"ios8","9324","iOS 8 is the eighth version of Apple's iOS mobile operating system. It was announced at the company's Apple Worldwide Developers Conference (WWDC) on June 2, 2014 and was released to the public on September 17, 2014.  The ios8 tag should be used for questions specific to Apple's iOS 8 operating system. General iOS questions should use the ios tag."
"authorization","9319","Authorization is the process of determining whether a user, program or device is allowed to access a protected resource in a particular way. Authorization is a key theme in computer security practices."
"stripe-payments","9309","Stripe-payments refers to the libraries and API produced by the ""Stripe"" company for payment processing."
"erlang","9305","Erlang is a general-purpose, garbage-collected programming language and runtime environment, with built-in support for concurrency, distribution and fault tolerance. "
"web-crawler","9294","A Web crawler (also known as Web spider) is a computer program that browses the World Wide Web in a methodical, automated manner or in an orderly fashion. Other terms for Web crawlers are ants, automatic indexers, bots, Web spiders, Web robots, or – especially in the FOAF community – Web scutters."
"location","9284","Location is a specific position in physical space, e.g. a point on the surface of the Earth described using latitude and longitude coordinates. This tag should NOT be used for questions related to the position of a virtual element e.g. position of a pixel on a bitmap or position of a layout element on UI (use [position] tag in that cases)."
"zip","9267","ZIP is a format for compressed file archives, allowing packaging of multiple files and directories into a single file.  "
"storyboard","9264","A storyboard is a graphic organizer in the form of illustrations or images displayed in sequence for the purpose of pre-visualizing a motion picture, animation, motion graphic or interactive media sequence. "
"dojo","9262","Dojo Toolkit is an open source modular JavaScript library designed to ease the rapid development of cross-platform, JavaScript/Ajax-based applications and web sites. It is dual-licensed under the BSD License and the Academic Free License. Dojo uses the Asynchronous Module Definition (AMD) format for its source code, allowing completely modular web application development.  "
"itext","9256","Library to create and manipulate PDF documents in Java and C#. Use this tag for code using iText versions up to 5.5.x. For iText versions from 7.0.0 onwards a separate tag ""itext7"" is available.  Remember to also add the tag for the language you're using."
"ruby-on-rails-5","9256","For issues specific to version 5.x.y of Rails. If your question applies to Ruby on Rails in general, use the tag [ruby-on-rails]."
"log4j","9230","log4j is a popular Java-based logging utility. It is a project of the Apache Software Foundation and is licensed under The Apache Software License, Version 2.0"
"wsdl","9175","Web Service Description Language (WSDL) is an XML based, human- and machine-readable language used to describe a web service. It describes the available web service methods, the message request and response structures, the possible faults, and the communication and security requirements.  This tag does not refer to any tool named ""wsdl"", such as WSDL.EXE from Microsoft."
"uiimage","9158","The basic image handling class of Cocoa-Touch on iOS. It is Available in iOS 2.0 and later."
"nuxt.js","9157","Nuxt.js is a framework for creating Vue.js applications, you can choose between Universal, Static Generated or Single Page application (inspired by Next.js)"
"timeout","9155","The timeout term refers to a predefined period of time allowed to elapse before an event is to occur. Timeout may also refer to an event that takes place after a specified period of time elapses."
"apache-poi","9143","Apache POI is a Java library for reading and writing various Microsoft file formats, especially Office related ones. It supports OLE2 and OOXML based formats, such as XLS, XLSX, DOC, DOCX, PPT and PPTX as well as a few others."
"actionscript","9141","ActionScript is a scripting language used to create Rich Internet Applications (RIA), mobiles applications, web applications, etc. It is the main language for Flash and Flex."
"fullcalendar","9133","Fullcalendar is a library developed by Adam Shaw that loads events by AJAX (as well as other methods) and presents them in a calendar/agenda display. Please always tag your fullCalendar version additionally - e.g. fullcalendar-5, fullcalendar-4 etc."
"local-storage","9123","LocalStorage is a way to store persistent data using JavaScript (see also: SessionStorage)."
"hex","9121","Hexadecimal (also base 16, or hex) is the base-16 positional numeral system, using the 16 symbols 0–9 and A‒F."
"output","9103","The externally observable consequences of calling a program on some input"
"pipe","9098","A pipe is an interprocess connection between file descriptors of two processes. A pipe is created with the POSIX pipe() function (from <unistd.h>).  Shells create pipes between processes if the ""|"" symbol is used: ""cmd1 | cmd2"" directs the output of cmd1 to the input of cmd2.  On Windows use CreatePipe(). This mechanism redirects standard input, standard output, and standard error into the calling process in .NET and Java."
"time-complexity","9096","The time complexity of an algorithm quantifies the amount of time taken by an algorithm to run as a function of the size of the input to the problem. The time complexity of an algorithm is commonly expressed using big O notation, which suppresses multiplicative constants and lower order terms."
"gruntjs","9093","Grunt is a task-based command line build tool and task runner for JavaScript projects."
"ckeditor","9087","CKEditor is an ecosystem of Open Source rich text editors with support for real-time collaboration. Use this tag together with the [ckeditor4] and [ckeditor5] tags to indicate the editor version."
"click","9085","In user interfaces, click refers to the depressing of a mouse button or similar input device."
"filesystems","9081","A file system is a way of organizing data on a computer system. Typically a file system consists of files, folders (normally a special kind of file) and an API that can be used for interacting with files."
"babeljs","9080","Babel (formerly 6to5) is a JavaScript compiler. It transforms ES6+/ES2015 code into ES5 code."
"treeview","9063","TreeView control is used to display hierarchical information. "
"resources","9051","Assets (like memory, disk space, CPU power or alike) necessary for effective operation or physical files (like images, configuration files or other) to provide some externalized enrichment to an application."
"conv-neural-network","9023","A convolutional neural network (CNN, or ConvNet) is a class of deep, feed-forward artificial neural networks that has successfully been applied to analyzing visual imagery. It falls under the [deep-learning] tag."
"cypher","9009","Cypher is a graph query language for Neo4j and AgensGraph. For ciphers as in encryption, see cipher."
"clang","9001","For questions about the clang LLVM compiler front end.  For general questions about C, use the C tag."
"icons","8982","An icon is a small pictogram used in graphical user interfaces to supplement the presentation of textual information to the user."
"window","8980","In computer science a window is a graphical interface to let a user interact with a program. Questions regarding Microsoft Windows should use the ""Windows"" tag."
"cross-browser","8973","Cross-browser development refers to the practice of building web sites, web applications, libraries, or components so that they function across different web browsers and rendering engines. "
"ip","8962","This tag is for questions related to the Internet Protocol. You may want to use the tag [ip-address] instead of or in conjunction with this tag. For questions about intellectual property, use [intellectual-property] instead."
"realm","8959","The Realm Platform is a data synchronization platform for mobile applications. It included the Realm Database, the Realm Object Server, and Realm Studio. Realm is now part of MongoDB Realm"
"angularjs-scope","8954","In AngularJS, a scope is an object that refers to the application model. It is an execution context for expressions."
"export","8951","""Export"" refers to the automated or semi-automated conversion of data sets from one data format to another. The term refers to both act of exporting and to the result of the action, i.e. the exported data set."
"maps","8946","A map is a visual representation of an area—a symbolic depiction highlighting relationships between elements of that space such as objects, regions, and themes.  For the key-value data structure, use dictionary tag instead."
"resize","8938","Issues relating to the resizing of controls, windows, forms or screens."
"in-app-purchase","8914","In-app purchase (IAP) usually refers to the acquisition of a feature for an application from within the application itself or the buying of digital goods from within an application. Use this tag for questions about writing code for the buying process. Questions about app-store policies or about specific transactions are off-topic on Stack Overflow and should not be posted."
"c++17","8901","C++17 is the name of the C++ standard approved in 2017. It builds upon the previous C++14 standard, improving the core language and standard library, and adding a few new language features."
"thread-safety","8891","A piece of code is thread-safe if it only manipulates data structures in a way that allows consistent execution of this code by multiple threads. A code may be thread safe, conditionally safe (mutual exclusion required) or unsafe (can only be safely used by one thread)."
"map","8882","A map is a data structure relating keys to values. For questions about mapping functions use [map-function] instead. For questions about geography, use [maps] instead."
"android-actionbar","8876","The ActionBar is Android's window feature that identifies the application and user location, and provides user actions and navigation modes."
"odbc","8873","Open Database Connectivity (ODBC) provides a standard software interface for accessing database management systems (DBMS)."
"twilio","8847","Twilio provides APIs and tools to add communications-related functionality (SMS/MMS, voice, video, e-mail, chat, 2FA, and others) into web and mobile applications."
"wordpress-theming","8824","The WordPress Theme system is the way to style your WordPress powered weblog / website."
"google-visualization","8815","The Google Visualization API allows SVG, Flash, and Image charts and dashboards to be created based on data from a variety of sources. The charts/dashboards can be interactive, updated automatically, and included on web pages and web applications."
"substring","8812","Part of a string, or the function/method that returns part of a string"
"elixir","8808","Elixir is an open-source, dynamic, compiled, general purpose functional programming language. It was designed to be fully compatible with the Erlang platform and is well suited to writing fault-tolerant, distributed applications with soft real-time guarantees and the ability for hot-code-swapping."
".net-4.0","8805","Version 4.0 of the .NET Framework.  Use for questions specifically related to .NET Framework 4.0.  For questions on .NET Framework generally, use the .net tag."
"printf","8803","`printf` is a common function for formatted output. C and many other languages have a whole family of related functions. Only use this tag if the question is directly concerned with `printf` or related functions."
"r-markdown","8799","R Flavored Markdown or ""R Markdown"" is a markdown variant used for content-creation and/or programming documentation interleaved with R code."
"cocoapods","8796","CocoaPods is the dependency manager for Cocoa projects."
"observable","8796","An observable is typically a programming construct that can be ""watched"" by other parts of the code, called the ""observers"". Different frameworks and programming languages have different implementations for observables, so this tag should typically be used in conjunction with others."
"kernel","8793","In computing, the kernel is a computer program that manages input/output requests from software, and translates them into data processing instructions for the central processing unit and other electronic components of a computer. The kernel is a fundamental part of a modern computer's operating system.   This tag is for general questions regarding code that runs in the context of an operating system kernel."
"runtime-error","8792","Use this tag to indicate that when an application is run, it reports a runtime error or runtime exception after or during the execution of the application. Use this tag with other tags that indicate programming language being used ([java], [c++], etc.) or for standard utilities or development environments include a tag indicating the application being run ([maven], [visual-studio], [gcc], etc.)."
"key","8785","A unique identifier used to retrieve a paired value.  Used in hash tables and databases."
"bots","8774","Bots, also known as web-robots, are software applications that run automated tasks over the Internet. Typically, they perform tasks that are both simple and structurally repetitive, at a much higher rate than would be possible for a human alone. Notable examples are spiders, crawlers, scrapers, spam-bots and game-bots."
"mapping","8770","Corresponding every element of a given set to a unique element of another set or it may refer to a process of creating data element mappings between two distinct data models (objects)"
"typo3","8751","TYPO3 is an Open Source Enterprise Web Content Management System (CMS), written in PHP. It is typically combined with a MySQL database and runs on many Unix and Windows systems."
"position","8749","Position refers to the location of an element relative to its container, typically on the horizontal and vertical axes."
"windows-services","8729","Windows services are background service processes run by the Service Control Manager on Windows NT based operating systems, similar to daemons or UNIX services."
"syntax-error","8727","A syntax error occurs when a program does not follow the syntactical rules of the programming language."
"ios6","8725","iOS 6 was announced by Apple on June 11, 2012 and released on September 19th, 2012. It runs all iPhones from 3GS and up."
"zend-framework2","8692","Zend Framework 2 is a PHP 5.3+ 5.4 (for Zend Framework 2.4+) or 5.5+ (for Zend Framework 2.5.0+) MVC framework and component library."
"imagemagick","8673","ImageMagick is an open source software suite for displaying, converting and editing raster image files."
"botframework","8672","The Microsoft Bot Framework is used for building intelligent chat bots and deploying them to multiple messaging platforms or channels at once. This includes utilizing various Bot Builder SDK features, creating bots of various types and using the Bot Directory or the Azure Bot Service."
"styles","8655","DO NOT USE THIS TAG. This tag does not currently have a single, well-defined meaning. It is often used in place of, or in conjunction with, [css]. It is also used on questions about the appearance of user interfaces and questions about source code formatting."
"signalr","8647","ASP.NET SignalR is a library for ASP.NET developers that makes it simple to add real-time functionality to your web applications. That is, to have your server-side code push content to the connected clients as it happens, in real-time."
"jquery-selectors","8638","Selectors can be used in jQuery to match a set of elements in a document. Most CSS selectors are implemented, as well as a set of custom ones."
"compression","8620","The name given to the process of encoding data such that it uses lesser number of bits as compared to the original representation."
"windows-runtime","8610","Windows Runtime (WinRT) is a Microsoft platform architecture that allows applications to run in a sandboxed environment exposing a 'Windows Modern Style' UI/UX.  Not to be confused with Windows RT, the edition of Windows 8 for ARM devices; see windows-rt."
"pattern-matching","8598","Use this tag for questions about testing whether a data structure has a particular shape or contains particular values in certain locations. Many functional languages provide pattern matching constructs. Most questions in this tag should also have the tag for the language you are programming in.  DO NOT USE THIS TAG FOR REGULAR EXPRESSION QUESTIONS, USE [regex] INSTEAD; similarly, for pattern matching (globbing) in POSIX-like shells, use [glob]."
"logic","8591","Logic refers to the ultimate flow of your code and how you arrive your desired solution. Questions should relate to finding a coding solution (or improving existing coding logic) to a given problem. Please use with an appropriate language tag, a thorough description of your logic, and the relevant code you're working on. General logic questions are off-topic. If you simply need a code review, consider https://codereview.stackexchange.com"
"malloc","8542","The malloc function performs dynamic memory allocation in C and is part of the standard library. Use this tag for questions about usage, behavior and implementations of malloc. "
"internet-explorer-8","8542","Windows Internet Explorer 8 is a web browser developed by Microsoft, released on 19 March 2009 for Windows XP, Windows Server 2003, Windows Vista, Windows Server 2008, and Windows 7."
"concatenation","8537","Refers to the joining of two or more elements into a single element. "
"azure-sql-database","8533","Azure SQL Database is a relational PaaS database hosted in Microsoft Azure. Azure SQL Database provides predictable performance, scalability, business continuity, data protection, and near-zero administration for cloud developers."
"sharepoint-2010","8528","For SharePoint-specific questions, please see the SharePoint Stack Exchange site at  https://sharepoint.stackexchange.com/"
"web-config","8517","web.config is an XML file that stores the main settings and configuration files for an IIS server. "
"escaping","8517","Escaping is the process of applying an alternate meaning to a character or set of characters."
"vagrant","8509","GENERAL VAGRANT SUPPORT IS OFF-TOPIC. Support questions may be asked on https://superuser.com. Vagrant is a command line tool for provisioning virtualized environments on top of various providers, including VirtualBox, VMware and AWS."
"amazon-elastic-beanstalk","8494","AWS Elastic Beanstalk is a PaaS (Platform as a Service) service from Amazon Web Services that allows users to create applications and push them to a definable set of AWS services."
"windows-installer","8482","Windows Installer is the installation service provided with Windows, based on the creation and installation of MSI files. In practice there will be a tool you're using to generate the MSI files, and you should tag your question with Windows Installer and that tool (WiX, Visual Studio Setup Project, InstallShield, Advanced Installer etc). Your issue may be with building, designing, or installing MSI files. "
"swift2","8480","Use this tag only for questions directly related to changes in version 2.x of Apple's Swift programming language. Use the tag [swift] for more general language questions, or the tags [ios], [cocoa], [apple-watch] etc for questions about developing on Apple platforms."
"cloud","8475","Cloud computing is about hardware-based services involving computing, network and storage capacities. These services are provided on-demand, hosted by the cloud provider and can easily scale up and down."
"asp.net-mvc-2","8470","ASP.NET MVC 2 is the second major version of the ASP.NET MVC platform, it has since been outdated by ASP.NET MVC 3."
"bluetooth-lowenergy","8456","Bluetooth Low Energy (""BLE"") is a radio standard introduced in 2006. It is also known as Bluetooth Smart and is a subset of Bluetooth v4.0."
"closures","8455","A closure is a first-class function that refers to (closes over) variables from the scope in which it was defined. If the closure still exists after its defining scope ends, the variables it closes over will continue to exist as well."
"pthreads","8446","Pthreads (POSIX Threads) is a standardised C-based API for creating and manipulating threads. It is currently defined by POSIX.1-2008 (IEEE Std 1003.1, 2013 Edition / The Open Group Base Specifications Issue 7)."
"jtable","8445","JTable is a Java Swing component used to display and edit regular two-dimensional tables of cells."
"blackberry","8445","BlackBerry offers a variety of development tools, including the BlackBerry Dynamics SDK, Cylance REST APIs, BlackBerry Workspaces APIs and SDKs, BlackBerry QNX development and BlackBerry UEM REST APIs. Consider adding the BlackBerry SDK you are using as an addition tag."
"uitextfield","8416","A UITextField object is a control that displays editable text and sends an action message to a target object when the user presses the return button. You typically use this class to gather small amounts of text from the user and perform some immediate action, such as a search operation, based on that text. "
"repository","8401","Can refer to the data store of a version control system containing the whole history of a project, or to an object that transfers data between the business layer of an application and its data store."
"jasper-reports","8397","JasperReports is an open source reporting tool that can be used in all Java applications from desktop to web applications. This tag should always be applied to all question related to this framework, if the question is also related to usage of a specific IDE (jaspersoft-studio or ireport) add the correct one. Only if your question contains back-end code in java/php etc you need to add those as additional tags."
"regression","8382","Regression analysis is a collection of statistical techniques for modeling and predicting one or multiple variables based on other data."
"ef-code-first","8382","EF Code-First is a way of using Microsoft's Entity Framework with POCO classes, as opposed to model-first or DB-first."
"webrtc","8367","WebRTC is a free, open project providing browsers and mobile applications with Real-Time Communications (RTC) capabilities (audio, video, and binary data streaming) via simple APIs and common set of protocols. Tags for operating environment may be helpful, e.g. [node.js] or [reactjs] or [ios] as well as specific browser, e.g. [firefox]. Questions concerning Session Description Protocol use [sdp]. Use [ortc] for Object RTC."
"locking","8352","Locking allows different types of resources to be used exclusively by one process at a time."
"http-post","8351","POST is one of the HTTP protocol methods; it is used when the client needs to send data to the server, such as when uploading a file, or submitting a completed form."
"applescript","8283","AppleScript is an end user scripting language that has been available in Mac computers since System 7 Pro (7.1.1). It allows for automation of system tasks, communication between processes, and creation of workflows, amongst other functions."
"polymer","8280","The Polymer library provides a set of features that make it easy and fast to make custom elements that work like standard DOM elements."
"max","8269","Maximum value. Largest, biggest, greatest."
"asp.net-identity","8261","The ASP.NET Identity system is designed to replace the previous ASP.NET Membership and Simple Membership systems."
"constraints","8253","A constraint is a condition that has to be fulfilled in a given context. Constraints are typically used in databases and programming languages to detect errors, ensure data consistency, accuracy, and to enforce business requirements."
"controls","8253","Use this tag for programming scenarios related to controls (interactive elements of the user interface)."
"pandas-groupby","8248","To be used for grouping variables together based on a given condition. And only to be used with relevance to `pandas` library"
"global-variables","8236","Global variables are variables that are accessible from all elements of a software component.  "
"command-line-interface","8234","The interface to a program that consists entirely of text, as opposed to (although not necessarily mutually exclusive to) a GUI, or Graphical User Interface."
"language-agnostic","8219","Use this tag for PROGRAMMING QUESTIONS that are independent of any particular programming language."
"singleton","8215","A design pattern that ensures that exactly one application-wide instance of a particular class exists. One of the Gang of Four's creational design patterns. "
"jinja2","8210","Jinja2 is a fast template engine for Python. It has full Unicode support, auto-escaping, inheritance, macros, and many other features."
"thymeleaf","8209","Thymeleaf is an XML/XHTML/HTML5 template engine (extensible to other formats) that can work both in web and non-web environments. It is better suited for serving XHTML/HTML5 at the view layer of web applications, it can process any XML file even in offline environments.  It provides an optional module for integration with Spring MVC, so that you can use it as a complete substitute of JSP in your applications made with this technology, even with HTML5. "
"many-to-many","8209","A type of relationship between entities of types A and B which associates a list of entities of type B to an entity of type A and vice versa. Types A and B may be the same type."
"broadcastreceiver","8206","BroadcastReceiver is an Android component that responds to system-wide broadcast announcements."
"alignment","8187","In GUI (inc. web page) context, alignment refers to the positioning of visual elements. Or for memory addresses, being a multiple of some power of 2."
"mocha.js","8180","Mocha.js is a feature-rich JavaScript test framework running on Node.js and the browser."
"qt5","8175","Questions specifically for version 5.x of the Qt library. If your question applies to other versions of Qt, use the tag [tag:qt4] or [tag:qt3]. It is recommended to use with the tag  [tag:qt]."
"mercurial","8168","Mercurial is a fast, open-source DVCS (Distributed Version Control System). "
"video-streaming","8164","Video streaming is the process of delivering a video from a server to a client. This is different from simply downloading the entire video file, as the client is able to watch the video while it's being downloaded."
"material-design","8153","Material design is Google's guide for visual, motion, and interaction design across platforms and devices, introduced with Android 5.0 Lollipop."
"google-oauth","8146","Google APIs use the OAuth 2.0 protocol for authentication and authorization. Google supports common OAuth 2.0 scenarios such as those for web server, installed, and client-side applications. When posting questions, it is most helpful if you could explain who owns the resource that is to be accessed."
"celery","8136","Celery is a distributed task queue framework for Python, used for asynchronous and parallel execution."
"azure-pipelines","8111","Azure Pipelines provides build services (CI), that are free for open source projects and available in the GitHub marketplace. Azure Pipelines also provides release management for continuous delivery (CD) to any cloud and on-premises servers. With Azure Pipelines, you’ll be able to continuously build, test and deploy to any platform and cloud."
"testng","8105","TestNG is a testing framework focused on providing both unit and functional testing abilities in the Java programming language. It supports parallel testing, data providers, dependencies, groups and other features."
"logstash","8104","Logstash is a tool for managing events and logs. You can use it to collect logs, parse them and send them to storage for later use (such as searching). "
"google-chrome-devtools","8090","Chrome DevTools are the web developer tools built into Google Chrome."
"try-catch","8090","try-catch is a syntactic construct for catching exceptions raised by a code section"
"android-sqlite","8061","Android uses SQLite to store and retrieve data persistently. Use this tag for questions regarding the Android implementation of SQLite, how to use it in your application, or for help when your implementation of SQLite doesn't work."
"c++14","8041","C++14 is the name of the C++ standard, approved in 2014. It builds upon the previous C++11 standard, improving the core language and standard library and adding some features."
"operator-overloading","8039","Operator overloading is a feature of a programming language that allows custom implementations for operators depending on the types of the operands involved.  Some languages allow new operators to be defined while others only allow redefinition of existing ones."
"gtk","8022","GTK (formerly GTK+) is a toolkit for creating graphical user interfaces (GUIs) with cross platform compatibility and an easy to use API."
"hdfs","8021","Hadoop Distributed File System (HDFS) is the default file storage system used by Apache Hadoop. HDFS creates multiple replicas of data blocks and distributes them on data nodes throughout a cluster to enable reliable, and computation of huge amount of data on commodity hardware."
"seaborn","8000","Seaborn is a Python data visualization library based on matplotlib. It provides a high-level interface for drawing attractive and informative statistical graphics."
"retrofit","7982","Retrofit is a type-safe REST client for Android and Java by Square, Inc."
"double","7962","Double is a primitive data type used to store fractional numbers that holds a double-precision floating-point (often 64 bits)."
"fragment","7960","**DO NOT USE**: fragment is an ambiguous tag, used to refer to numerous technologies.  Prefer less ambiguous tags. For Android Fragments, use [android-fragments]. For URL fragments, use [url-fragment]"
"python-imaging-library","7959","The Python Imaging Library (PIL) provides the Python language with a de-facto standard foundation for image work. PIL’s API is lightweight but semantically consistent; it furnishes a range of comfortably Pythonic tools throughout much of the imaging lexicon: processing, analysis, compression and codec abstraction, etc. – all of which builds upon a bespoke and readily extensible library structure."
"build.gradle","7958","The file build.gradle describes the default actions and tasks launched by 'gradle' command in the appropriate folder."
"akka","7946","Akka is an open-source toolkit and runtime simplifying the construction of concurrent and distributed applications on the JVM. It implements the actor model known from Erlang."
"tinymce","7897","TinyMCE is an open source WYSIWYG HTML editor that provides a modern rich text editing experience for web applications. Use this tag for questions regarding the usage of TinyMCE and its integration with CMSs and other web-based applications."
"client","7894","A client is an application or system that accesses a service made available by a server."
"office365","7893","Microsoft Office 365 includes service APIs for the hosted versions of Exchange Server, SharePoint, Lync, and Yammer. These APIs give you access to Files, Sites, Calendar, Contact, Mail, Notes and other data stored in Office 365. Many of these are also available via the Microsoft Graph.  Additionally, there are APIs for integrating with add-ins for SharePoint, Word, Excel, PowerPoint, Outlook, and OneNote."
"angular6","7884","Questions about Angular version 6, the web framework from Google. Use this tag for Angular questions which are specific to only version 6. Use tag Angular for any Angular questions which are not specific to an individual version."
"gpu","7865","Acronym for ""Graphics Processing Unit"". For programming traditional graphical applications, see the tag entry for ""graphics programming"". For general-purpose programming using GPUs, see the tag entry for ""gpgpu"". For specific GPU programming technologies, see the popular tag entries for ""opencl"", ""cuda"" and ""thrust""."
"webserver","7864","A software application that services requests from clients using the Hypertext Transfer Protocol."
"scheme","7837","Scheme is a functional programming language in the Lisp family, closely modeled on lambda calculus with eager (applicative order) evaluation. FOR questions about URL schemes PLEASE use the tag ""URL-scheme""."
"air","7835","Adobe Integrated Runtime (AIR), also known as Adobe AIR, is a cross-platform runtime environment developed by Adobe Systems for building applications targeting desktop, mobile and television systems using Adobe Flash, Adobe Flex, ActionScript 3.0, MXML, HTML, or AJAX."
"match","7825","A programming concept about finding results based on some kind of search. Typically used when talking about regular expressions."
"sh","7803","sh is the standard Unix shell since Version 7 Unix. POSIX has standardized shell behavior based on the Bourne Shell, and portable shell scripts should conform to the standardized syntax. Use this tag for questions that apply to Bourne/POSIX-style shells. For shell scripts with errors, please check them in http://shellcheck.net before posting here."
"apple-push-notifications","7794","The Apple Push Notification Service is a service created by Apple Inc. that was launched together with iOS 3.0.APNS is used together with Mac OS X Lion Server to push update notifications to clients that have registered to receive updates via a configuration profile and are also using the server's mail, calendar and contacts services. This means that devices such as the iPhone and applications like iCal on the Mac can receive a notification"
"state","7788","The contents of memory locations, at any given point in the program's execution, is called the program's state."
"task","7773","A task is an abstraction that is used to work with concurrency, it can denote operation that should be executed concurrently with the rest of a program. A task is a concurrent thread of execution in Ada and represents an asynchronous operation in .NET, also it corresponds to Threads in Java."
"overriding","7769","Method overriding, in object oriented programming, is a language feature that allows a subclass or child class to provide a specific implementation of a method that is already provided by one of its superclasses or parent classes."
"blazor","7746","Blazor lets you build interactive web UIs using C# instead of JavaScript. It is a feature of ASP.NET, the web development framework from Microsoft that extends the .NET developer platform."
"app-store","7735","The App Store is Apple's online digital distribution store for applications. It is a repository of apps which run on iOS mobile devices, as well as desktop Mac OS environments.  Questions tagged [app-store] are related to performing programmatic interactions with the App Store (such as listing apps or renewing licensing). Questions related to App Store rejections or other customer support are off-topic."
"tableview","7733","A table view is a means for displaying and editing hierarchical lists of information. For example: UITableView in Cocoa Touch."
"coding-style","7733","**DO NOT USE! This tag refers to an entirely opinionated subject and is therefore no longer on-topic.**  Questions that follow coding style and conventions. "
"comparison","7720","Questions about data comparison and efficient ways to accomplish it. Please avoid using this tag for generic (meta) comparison of two issues or concepts."
"windows-phone-8.1","7718","Windows Phone 8.1 is a major update to Microsoft's Windows Phone 8 operating system. It was announced at the Build Conference in April 2014."
"microservices","7695","An architectural approach to developing a single application as a suite of small individually deployable  services."
"bitbucket","7694","Bitbucket is a hosting site for Git and Mercurial. The service offering includes an issue tracker and wiki, as well as integration with a number of popular third-party services. Atlassian acquired bitbucket.org in 2010. "
"out-of-memory","7692","An error or exception which is thrown when a program makes a request for memory that cannot be satisfied."
"glassfish","7679","GlassFish is the reference Java EE application server."
"apache2","7676","Apache (HTTP Server) /əˈpætʃiː/ is a modular cross-platform web server software with a large variety of features(called modules) including SSL, compression, log, proxy and server-side programming language interfaces like Perl, Python, Tcl, and PHP."
"cygwin","7673","Cygwin is a collection of GNU and other Unix-like FOSS tools which run on MS Windows and provide functionality similar to a GNU/Linux distribution while (mostly) conforming to POSIX specifications.  Use this tag for questions about developing programs and/or scripts to run in this environment.  Questions on the *use* of tools in a Cygwin environment are more appropriate for Super User (https://superuser.com)."
"asp.net-web-api2","7667","ASP.NET Web API 2 is a framework for building HTTP services for clients like browsers and mobile devices. It is based on the Microsoft .NET Framework and an ideal choice for building RESTful services."
"requirejs","7661","RequireJS is a JavaScript file and module loader. It is optimized for in-browser use, but it can be used in other JavaScript environments, like Rhino and Node.js. If you are using the require call that comes bundled with Node.js then you are NOT using RequireJS. Please do not use this tag for such cases. Use the require tag instead."
"spring-batch","7640","Spring Batch is a lightweight, comprehensive framework aimed at enabling the development of  batch applications vital for the daily operations of enterprise systems. Batch applications in this context refers to automated offline systems targeted towards bulk data processing."
"seo","7630","Note: General SEO questions are off-topic. Only programming-related SEO questions are acceptable on Stack Overflow. Non-programming SEO questions should be asked on Webmasters.SE at https://webmasters.stackexchange.com.  If someone has directed you here to read this warning, go back and delete your question."
"left-join","7618","A left join is an outer join which generates a result that contains all the records of the ""left"" table even when there are no matching records in other tables taking part in the join."
"angularjs-ng-repeat","7618","The `ngRepeat` directive instantiates a template once per item from a collection. Each template instance gets its own scope, where the given loop variable is set to the current collection item, and `$index` is set to the item index or key."
"rss","7617","Really Simple Syndication (RSS) is a family of web feed formats used to publish frequently updated works—such as blog entries, news headlines, audio, and video—in a standardized format."
"phantomjs","7610","PhantomJS is a headless (GUI-less) WebKit with a JavaScript API. It has native support for various web standards: DOM handling, CSS selector, JSON, Canvas, and SVG."
"usb","7603","HARDWARE QUESTIONS ARE OFF-TOPIC. Consider https://superuser.com if you need USB hardware help. USB is an acronym for Universal Serial Bus, a standard for a serial host-to-device protocol defined by the USB Implementors Forum. "
"momentjs","7575","A JavaScript date library for parsing, manipulating, and formatting dates.  Use this tag for issues with moment, moment-timezone, and any moment plugins.  NOTE: As of September 2020, the Moment team recommends you chose a different library for new projects.  See the Project Status section of the Moment docs.  On StackOverflow, please refrain from recommending Moment as a solution unless Moment is specifically asked for in the question."
"virtual-machine","7570","A virtual-machine is software emulating complete computer hardware. There are various applications that supply this functionality.   **Note**: For questions on the Java VM, use the specific tag [jvm], and for the Android virtual machine, use the tag [dalvik]. For other questions on implementation details of other kinds of VMs like interpreters, automata or Turing-machines, use the tag [vm-implementation]. ONLY QUESTIONS ABOUT PROGRAMMING ARE ON-TOPIC."
